,ID,Target,Tweet,Stance,Opinion towards,Sentiment
0,10001,Atheism,He who exalts himself shall      be humbled; and he who humbles himself shall be exalted.Matt 23:12.     #SemST,AGAINST,TARGET,POSITIVE
1,10002,Atheism,"RT @prayerbullets: I remove Nehushtan -previous moves of God that have become idols, from the high places -2 Kings 18:4 #SemST",AGAINST,TARGET,NEITHER
2,10003,Atheism,@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,AGAINST,TARGET,POSITIVE
3,10004,Atheism,#God is utterly powerless without Human intervention... #SemST,AGAINST,TARGET,NEGATIVE
4,10005,Atheism,@David_Cameron   Miracles of #Multiculturalism   Miracles of shady 786  #Taqiya #Tawriya #Jaziya #Kafirs #Dhimmi #Jihad #Allah #SemST,AGAINST,OTHER,NEGATIVE
5,10006,Atheism,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,AGAINST,TARGET,POSITIVE
6,10007,Atheism,"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST",AGAINST,TARGET,POSITIVE
7,10008,Atheism,A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST,AGAINST,TARGET,POSITIVE
8,10009,Atheism,@SecularDutchess I'll be your huckleberry @DeanModified #SemST,AGAINST,OTHER,NEITHER
9,10010,Atheism,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST,AGAINST,TARGET,NEGATIVE
10,10011,Atheism,"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST",AGAINST,OTHER,NEGATIVE
